id	title	filename	original_image_url	landing_page
museovirasto.99C3FDC761EBAD842FB831B45791D863	kaksi puista kelaa	images/museovirasto.99C3FDC761EBAD842FB831B45791D863.jpg	https://finna.fi/Cover/Download?id=museovirasto.99C3FDC761EBAD842FB831B45791D863&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.99C3FDC761EBAD842FB831B45791D863
museovirasto.A62E32775E438C7D7E8DD7C5AD978C7E	savupirtin kiuas	images/museovirasto.A62E32775E438C7D7E8DD7C5AD978C7E.jpg	https://finna.fi/Cover/Download?id=museovirasto.A62E32775E438C7D7E8DD7C5AD978C7E&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.A62E32775E438C7D7E8DD7C5AD978C7E
museovirasto.AE1BC490A83BA03585A221036C44C0CE	Līž Val't vanhassa morsiuspuvussa	images/museovirasto.AE1BC490A83BA03585A221036C44C0CE.jpg	https://finna.fi/Cover/Download?id=museovirasto.AE1BC490A83BA03585A221036C44C0CE&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.AE1BC490A83BA03585A221036C44C0CE
museovirasto.BAD975A85C0F7341EB105C234C0BE57F	autioitunut asumus, johon kuuluvat aitta, tupa, eteinen ja talli	images/museovirasto.BAD975A85C0F7341EB105C234C0BE57F.jpg	https://finna.fi/Cover/Download?id=museovirasto.BAD975A85C0F7341EB105C234C0BE57F&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.BAD975A85C0F7341EB105C234C0BE57F
museovirasto.C157A5CBD6CE2BD907825439B592AC59	tuvan ja eteisen käsittävä Vigan talo	images/museovirasto.C157A5CBD6CE2BD907825439B592AC59.jpg	https://finna.fi/Cover/Download?id=museovirasto.C157A5CBD6CE2BD907825439B592AC59&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.C157A5CBD6CE2BD907825439B592AC59
museovirasto.C703F7B808733AC83EBED1D08BBFB3EE	tuulimylly	images/museovirasto.C703F7B808733AC83EBED1D08BBFB3EE.jpg	https://finna.fi/Cover/Download?id=museovirasto.C703F7B808733AC83EBED1D08BBFB3EE&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.C703F7B808733AC83EBED1D08BBFB3EE
museovirasto.D453EE753CE88D973E50AC38811E03E6	ranta-aitta	images/museovirasto.D453EE753CE88D973E50AC38811E03E6.jpg	https://finna.fi/Cover/Download?id=museovirasto.D453EE753CE88D973E50AC38811E03E6&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.D453EE753CE88D973E50AC38811E03E6
museovirasto.F0292F4C433A306D45579219BBACFABF	Jan Ernetovskij, professori Setälän kielimestari	images/museovirasto.F0292F4C433A306D45579219BBACFABF.jpg	https://finna.fi/Cover/Download?id=museovirasto.F0292F4C433A306D45579219BBACFABF&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.F0292F4C433A306D45579219BBACFABF
museovirasto.F1C5DD023EF1843511F7ADF6ABFA6AD1	käsikivet	images/museovirasto.F1C5DD023EF1843511F7ADF6ABFA6AD1.jpg	https://finna.fi/Cover/Download?id=museovirasto.F1C5DD023EF1843511F7ADF6ABFA6AD1&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.F1C5DD023EF1843511F7ADF6ABFA6AD1
museovirasto.FD48F322681AB5EBF1EABA959E5D2BA0	Fritz Kleiberg kalastajanpuvussa	images/museovirasto.FD48F322681AB5EBF1EABA959E5D2BA0.jpg	https://finna.fi/Cover/Download?id=museovirasto.FD48F322681AB5EBF1EABA959E5D2BA0&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.FD48F322681AB5EBF1EABA959E5D2BA0
museovirasto.03FCB4866A2313D6F666A04CDFCCDCBC	Adamsonin perhe	images/museovirasto.03FCB4866A2313D6F666A04CDFCCDCBC.jpg	https://finna.fi/Cover/Download?id=museovirasto.03FCB4866A2313D6F666A04CDFCCDCBC&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.03FCB4866A2313D6F666A04CDFCCDCBC
museovirasto.0BD7FF9985B88A750B0080706EE12DFF	Kristin Demborg kantamassa vesisankoja ämmänlängillä	images/museovirasto.0BD7FF9985B88A750B0080706EE12DFF.jpg	https://finna.fi/Cover/Download?id=museovirasto.0BD7FF9985B88A750B0080706EE12DFF&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.0BD7FF9985B88A750B0080706EE12DFF
museovirasto.1918BE42884C3086879D3E078A9857D9	Prinzin talon tytär Līna Walt tyttärineen	images/museovirasto.1918BE42884C3086879D3E078A9857D9.jpg	https://finna.fi/Cover/Download?id=museovirasto.1918BE42884C3086879D3E078A9857D9&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.1918BE42884C3086879D3E078A9857D9
museovirasto.23C60354AA5B0669375B952682B06592	kalastusvene kuivaa purjeitaan rannalla	images/museovirasto.23C60354AA5B0669375B952682B06592.jpg	https://finna.fi/Cover/Download?id=museovirasto.23C60354AA5B0669375B952682B06592&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.23C60354AA5B0669375B952682B06592
museovirasto.28F6ECE91151F01A4EA6F10F0A48D83B	tutkimusryhmän matkatavaroita kuljetetaan hevoskyydillä Iiraan	images/museovirasto.28F6ECE91151F01A4EA6F10F0A48D83B.jpg	https://finna.fi/Cover/Download?id=museovirasto.28F6ECE91151F01A4EA6F10F0A48D83B&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.28F6ECE91151F01A4EA6F10F0A48D83B
museovirasto.4569A72DF5A97872A661C5D549AB7EDA	rantamaisema	images/museovirasto.4569A72DF5A97872A661C5D549AB7EDA.jpg	https://finna.fi/Cover/Download?id=museovirasto.4569A72DF5A97872A661C5D549AB7EDA&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.4569A72DF5A97872A661C5D549AB7EDA
museovirasto.4ED5FB537E45B25154226CAAE97E012D	asuinrakennus	images/museovirasto.4ED5FB537E45B25154226CAAE97E012D.jpg	https://finna.fi/Cover/Download?id=museovirasto.4ED5FB537E45B25154226CAAE97E012D&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.4ED5FB537E45B25154226CAAE97E012D
museovirasto.568AAD2187C593FD8E835926074EFCA4	kalastusverkkojen vapeita rannalla	images/museovirasto.568AAD2187C593FD8E835926074EFCA4.jpg	https://finna.fi/Cover/Download?id=museovirasto.568AAD2187C593FD8E835926074EFCA4&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.568AAD2187C593FD8E835926074EFCA4
museovirasto.6E0C033BE11BA8E71E31514D827A2FBB	Kersti Volganskij ja hänen poikansa, tyttärensä sekä tyttärenpoikansa	images/museovirasto.6E0C033BE11BA8E71E31514D827A2FBB.jpg	https://finna.fi/Cover/Download?id=museovirasto.6E0C033BE11BA8E71E31514D827A2FBB&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.6E0C033BE11BA8E71E31514D827A2FBB
museovirasto.82394856FEA496829470DD67A6FD0411	kalastusvene saapumassa rantaan	images/museovirasto.82394856FEA496829470DD67A6FD0411.jpg	https://finna.fi/Cover/Download?id=museovirasto.82394856FEA496829470DD67A6FD0411&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.82394856FEA496829470DD67A6FD0411
museovirasto.85FFED2DC59ACEEC72E76B885E7E8E25	kalanperkausta kalastusveneiden luona	images/museovirasto.85FFED2DC59ACEEC72E76B885E7E8E25.jpg	https://finna.fi/Cover/Download?id=museovirasto.85FFED2DC59ACEEC72E76B885E7E8E25&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.85FFED2DC59ACEEC72E76B885E7E8E25
museovirasto.916C90FF9F90C64652BBBF71FFA578F3	Drõudzinin talo	images/museovirasto.916C90FF9F90C64652BBBF71FFA578F3.jpg	https://finna.fi/Cover/Download?id=museovirasto.916C90FF9F90C64652BBBF71FFA578F3&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.916C90FF9F90C64652BBBF71FFA578F3
museovirasto.9FF38CB78F309042ECF716C01172C2D7	mies ja nainen perkaamassa kaloja	images/museovirasto.9FF38CB78F309042ECF716C01172C2D7.jpg	https://finna.fi/Cover/Download?id=museovirasto.9FF38CB78F309042ECF716C01172C2D7&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.9FF38CB78F309042ECF716C01172C2D7
museovirasto.A39862D22F256B905D670243B1CE6655	rantamaisema	images/museovirasto.A39862D22F256B905D670243B1CE6655.jpg	https://finna.fi/Cover/Download?id=museovirasto.A39862D22F256B905D670243B1CE6655&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.A39862D22F256B905D670243B1CE6655
